"選挙区名","定数","候補者 氏","ミドルネーム","候補者 名","候補者 氏 ふりがな","候補者 名 ふりがな","年齢","党派名","候補者のウェブサイト等のアドレス"
"北海道選挙区","3名","高橋",,"はるみ","たかはし",,"71歳","自由民主党","https://haruchan.jp/"
"北海道選挙区","3名","田中",,"よしひと","たなか",,"53歳","参政党","https://tanakay.net/"
"北海道選挙区","3名","小野寺",,"まさる","おのでら",,"61歳","日本保守党","https://x.com/onoderamasaru"
"北海道選挙区","3名","後藤",,"朋子","ごとう","ともこ","55歳","ＮＨＫ党","https://x.com/6yfMFVOoGl34056"
"北海道選挙区","3名","宮内",,"しおり","みやうち",,"33歳","日本共産党","https://miyauchishiori.hp.peraichi.com/"
"北海道選挙区","3名","岩本",,"剛人","いわもと","つよひと","60歳","自由民主党","https://tsuyohito.jp/"
"北海道選挙区","3名","稲原",,"むねよし","いなはら",,"36歳","チームみらい","https://team-mir.ai/"
"北海道選挙区","3名","鈴木",,"まさき","すずき",,"33歳","国民民主党","https://suzuki-masaki.my.canva.site"
"北海道選挙区","3名","勝部",,"けんじ","かつべ",,"65歳","立憲民主党","https://katsube-kenji.jp/"
"北海道選挙区","3名","オカダ",,"美輪子",,"みわこ","45歳","日本維新の会","https://x.com/okdvibe_da_ze?s=11"
"北海道選挙区","3名","高杉",,"やすじ","たかすぎ",,"56歳","日本改革党","https://x.com/takasugihokkaid"
"北海道選挙区","3名","のむら","パターソン","和孝",,"かずたか","40歳","れいわ新選組","https://hokkaidou.jp"
"青森県選挙区","1名","滝沢",,"もとめ",,,"66歳","自由民主党","https://www.takisawamotome.com"
"青森県選挙区","1名","福士",,"ますみ",,,"60歳","立憲民主党","https://fukushimasumi.jp/"
"青森県選挙区","1名","加藤",,"つとむ","かとう",,"65歳","参政党","https://note.com/kato_tsutomu"
"青森県選挙区","1名","おぎの",,"優子",,"ゆうこ","33歳","日本共産党",
"青森県選挙区","1名","佐々木",,"晃","ささき","あきら","53歳","ＮＨＫ党",
"岩手県選挙区","1名","吉田",,"博信","よしだ","ひろのぶ","59歳","ＮＨＫ党","https://x.com/alexand0625"
"岩手県選挙区","1名","横沢",,"たかのり","よこさわ",,"53歳","立憲民主党","https://yokosawa.net/"
"岩手県選挙区","1名","及川",,"たいすけ","おいかわ",,"46歳","参政党","https://taisuke.hp.peraichi.com/"
"岩手県選挙区","1名","平野",,"たつお","ひらの",,"71歳","自由民主党","https://tatuo.iwate.jp"
"岩手県選挙区","1名","角野",,"なすか","すみの",,"35歳","チームみらい","https://team-mir.ai"
"岩手県選挙区","1名","石井",,"よしひこ","いしい",,"62歳","れいわ新選組","https://go2senkyo.com/seijika/191537"
"岩手県選挙区","1名","石垣",,"のりこ","いしがき",,"50歳","立憲民主党","https://norikorock.com"
"岩手県選挙区","1名","ローレンス",,"綾子",,"あやこ","55歳","参政党","https://www.lawrenceayako.com"
"岩手県選挙区","1名","石川",,"光次郎","いしかわ","みつじろう","58歳","自由民主党","https://i3226.com"
"岩手県選挙区","1名","中村",,"高志","なかむら","たかし","65歳","無所属",
"岩手県選挙区","1名","前田",,"太一","まえだ","たいち","39歳","ＮＨＫ党","https://syoha-senkyo.jp"
"秋田県選挙区","1名","本田",,"幸久","ほんだ","ゆきひさ","43歳","ＮＨＫ党",
"秋田県選挙区","1名","さとう",,"みわこ",,,"65歳","参政党","https://satou-miwako-1.jimdosite.com/"
"秋田県選挙区","1名","なかいずみ",,"松司",,"まつじ","46歳","自由民主党","https://www.nakaizumimatsuji.com/"
"秋田県選挙区","1名","てらた",,"しずか",,,"50歳","無所属","https://teratashizuka.com/"
"山形県選挙区","1名","はが",,"道也",,"みちや","67歳","無所属","https://www.hagamichiya.com/"
"山形県選挙区","1名","佐藤",,"ともあき","さとう",,"52歳","参政党","https://sanseito.jp/election_member/sato
tomoaki/"
"山形県選挙区","1名","大内",,"りか","おおうち",,"62歳","自由民主党","http://www.oouchirika.com/"
"山形県選挙区","1名","三井寺",,"修","みいでら","おさむ","45歳","日本共産党","https://miidera-osamu.net"
"山形県選挙区","1名","大貫",,"学","おおぬき","まなぶ","67歳","ＮＨＫ党",
"福島県選挙区","1名","大山",,"りさこ","おおやま",,"51歳","参政党","https://x.com/risa0yama"
"福島県選挙区","1名","越智",,"寛之","おち","ひろゆき","51歳","ＮＨＫ党","https://x.com/hochi2019"
"福島県選挙区","1名","森",,"まさこ","もり",,"60歳","自由民主党","http://morimasako.com"
"福島県選挙区","1名","石原",,"洋三郎","いしはら","ようざぶろう","52歳","立憲民主党","https://ishihara-yozaburo.com/"
"福島県選挙区","1名","遠藤",,"雄大","えんどう","ゆうだい","40歳","無所属",
"茨城県選挙区","2名","さくらい",,"しょうこ",,,"41歳","参政党","https://sanseito.jp/election_member/sak
uraishoko/"
"茨城県選挙区","2名","牧山",,"やすし","まきやま",,"65歳","無所属","https://www.govcna.com"
"茨城県選挙区","2名","石井",,"憲一郎","いしい","けんいちろう","58歳","日本改革党","https://x.com/fromstageright"
"茨城県選挙区","2名","北崎",,"せりな","きたさき",,"35歳","日本維新の会",
"茨城県選挙区","2名","おぬま",,"たくみ",,,"39歳","立憲民主党","https://www.onumatakumi.com"
"茨城県選挙区","2名","上月",,"りょうすけ","こうづき",,"62歳","自由民主党","https://www.kouzuki-r.com/"
"茨城県選挙区","2名","高橋",,"誠一郎","たかはし","せいいちろう","30歳","日本共産党","https://takahashi-seiichiro.com"
"茨城県選挙区","2名","酒井",,"明男","さかい","あきお","50歳","ＮＨＫ党","https://x.com/nhk00947683"
"栃木県選挙区","1名","大森",,"紀明","おおもり","のりあき","54歳","参政党","https://sanseito.jp/election_member/oo
morinoriaki/"
"栃木県選挙区","1名","板津",,"ゆか","いたづ",,"37歳","立憲民主党","https://yukaitazu.com/"
"栃木県選挙区","1名","高橋",,"かつのり","たかはし",,"67歳","自由民主党","https://www.katsunori.info"
"栃木県選挙区","1名","福田",,"みちお","ふくだ",,"66歳","日本共産党","https://www.instagram.com/mich.20190
107"
"栃木県選挙区","1名","高橋",,"真佐子","たかはし","まさこ","60歳","ＮＨＫ党","https://ameblo.jp/masako-himeyuri/"
"栃木県選挙区","1名","笠間",,"慎一郎","かさま","しんいちろう","76歳","無所属",
"群馬県選挙区","1名","青木",,"ひとみ","あおき",,"44歳","参政党","https://sanseito.jp/election_member/aok
ihitomi/"
"群馬県選挙区","1名","清水",,"まさと","しみず",,"50歳","自由民主党","https://shimizumasato.com"
"群馬県選挙区","1名","井田",,"雅彦","いだ","まさひこ","49歳","無所属連合","https://wifipower.my.canva.site/masahik
oida"
"群馬県選挙区","1名","高橋",,"たもつ","たかはし",,"67歳","日本共産党","http://jcp-gunma.o.oo7.jp"
"群馬県選挙区","1名","河村",,"まさたけ","かわむら",,"52歳","立憲民主党","http://tiger-kawamura.com/"
"群馬県選挙区","1名","上楽",,"宗之","じょうらく","むねゆき","46歳","ＮＨＫ党","https://www.syoha.jp/"
"群馬県選挙区","1名","からしま",,"みき",,,"49歳","無所属","https://karashimamiki.jp"
"埼玉県選挙区","4名","江原",,"くみ子","えはら","くみこ","54歳","国民民主党","https://www.eharakumiko.net"
"埼玉県選挙区","4名","津村",,"大作","つむら","だいさく","51歳","日本改革党",
"埼玉県選挙区","4名","伊藤",,"岳","いとう","がく","65歳","日本共産党","http://ito-gaku.jp/"
"埼玉県選挙区","4名","矢倉",,"かつお","やくら",,"50歳","公明党","https://yakura-katsuo.jp/"
"埼玉県選挙区","4名","武藤",,"かず子","むとう","かずこ","43歳","チームみらい","https://team-mir.ai/"
"埼玉県選挙区","4名","増山",,"ゆうか","ますやま",,"42歳","日本誠真会","https://x.com/Ravin_PFRRG"
"埼玉県選挙区","4名","高井",,"たまき","たかい",,"54歳","社会民主党",
"埼玉県選挙区","4名","山田",,"信一","やまだ","しんいち","54歳","ＮＨＫ党","https://go2senkyo.com/seijika/184187"
"埼玉県選挙区","4名","桜井",,"ななえ","さくらい",,"50歳","れいわ新選組","https://sakurai-nanae.com"
"埼玉県選挙区","4名","くまがい",,"裕人",,"ひろと","63歳","立憲民主党","https://www.kumachan55.jp"
"埼玉県選挙区","4名","りゅうの",,"まゆみ",,,"52歳","日本維新の会","https://x.com/ishinryuno"
"埼玉県選挙区","4名","古川",,"俊治","ふるかわ","としはる","62歳","自由民主党","https://www.toshiharu-furukawa.jp"
"埼玉県選挙区","4名","大津",,"力","おおつ","つとむ","53歳","参政党","https://go2senkyo.com/seijika/143335"
"埼玉県選挙区","4名","斉藤",,"よしひで","さいとう",,"52歳","無所属",
"埼玉県選挙区","4名","石濱",,"哲信","いしはま","てつのぶ","74歳","日本保守党","https://nht.jp"
"千葉県選挙区","3名","山本",,"なつみ","やまもと",,"36歳","れいわ新選組","https://profu.link/u/yamamoto723"
"千葉県選挙区","3名","なかや",,"めぐ",,,"43歳","参政党","https://sanseito.jp/election_member/nak
ayamegu/"
"千葉県選挙区","3名","小林",,"しゅうへい","こばやし",,"34歳","チームみらい","https://team-mir.ai/"
"千葉県選挙区","3名","大すき",,"ゆうや","おおすき",,"36歳","無所属","https://chiba-ichihara-politics.jp/"
"千葉県選挙区","3名","中野",,"ともあき","なかの",,"48歳","無所属連合","https://nakanotomoaki.hp.peraichi.com"
"千葉県選挙区","3名","白石",,"ちよ","しらいし",,"49歳","日本共産党","https://www.youtube.com/@shiraishichiy
o"
"千葉県選挙区","3名","石井",,"準一","いしい","じゅんいち","67歳","自由民主党","http://www.ishii-junichi.com/"
"千葉県選挙区","3名","石塚",,"さだみち","いしづか",,"58歳","日本維新の会","https://ishizuka-sadamichi.com/"
"千葉県選挙区","3名","長浜",,"ひろゆき","ながはま",,"66歳","立憲民主党","https://www.nagahamahiroyuki.com"
"千葉県選挙区","3名","小林",,"さやか","こばやし",,"41歳","国民民主党","https://sayakakobayashi.com"
"千葉県選挙区","3名","小笠原",,"裕","おがさわら","ひろし","62歳","日本の家庭を守る会","https://nihonkatei.jp/"
"千葉県選挙区","3名","玉元",,"弘次","たまもと","ひろつぐ","63歳","ＮＨＫ党",
"千葉県選挙区","3名","橋本",,"直久","はしもと","なおひさ","61歳","日本誠真会","https://www.facebook.com/naohisa.hashi
moto.52"
"千葉県選挙区","3名","豊田",,"俊郎","とよだ","としろう","72歳","自由民主党","https://toyodatoshiro.jp"
"千葉県選挙区","3名","江田",,"よしまさ","えだ",,"48歳","日本改革党","https://www.nihonkaikaku.com/"
"千葉県選挙区","3名","大塚",,"京子","おおつか","きょうこ","68歳","無所属",
"東京都選挙区","6名(1名)","吉良",,"よし子","きら","よしこ","42歳","日本共産党","https://kirayoshiko.com"
"東京都選挙区","6名(1名)","山本",,"ジョージ","やまもと",,"62歳","れいわ新選組","https://george-yamamoto.tokyo"
"東京都選挙区","6名(1名)","吉永",,"アイ","よしなが",,"50歳","無所属","https://youtube.com/channel/UCAOYUi
KJ4VrmFnEBVIRJ9wQ"
"東京都選挙区","6名(1名)","土居",,"けんしん","どい",,"53歳","無所属","https://x.gd/Rl2Jt"
"東京都選挙区","6名(1名)","藤川",,"ひろあき","ふじかわ",,"53歳","日本改革党","https://www.nihonkaikaku.com"
"東京都選挙区","6名(1名)","西",,"みゆか","にし",,"53歳","社会民主党","https://www.sdp-tokyo.org"
"東京都選挙区","6名(1名)","小坂",,"英二","こさか","えいじ","52歳","日本保守党","https://x.com/kosakaeiji"
"東京都選挙区","6名(1名)","さ",,"や",,,"43歳","参政党","https://sayanokai.jp/"
"東京都選挙区","6名(1名)","みねしま",,"侑也",,"ゆうや","35歳","チームみらい","https://team-mir.ai/"
"東京都選挙区","6名(1名)","たけみ",,"敬三",,"けいぞう","73歳","自由民主党","http://www.takemi.net"
"東京都選挙区","6名(1名)","おくむら",,"まさよし",,,"47歳","立憲民主党","https://okkun.jp/"
"東京都選挙区","6名(1名)","牛田",,"まゆ","うしだ",,"40歳","国民民主党","https://ushidamayu.info/"
"東京都選挙区","6名(1名)","酒井",,"ともひろ","さかい",,"55歳","みんなでつくる党","https://sakai-tomohiro.com"
"東京都選挙区","6名(1名)","福村",,"康㇁","ふくむら","やすひろ","68歳","世界平和党",
"東京都選挙区","6名(1名)","桑島",,"康文","くわじま","やすふみ","64歳","核融合党","https://kuwaj.com"
"東京都選挙区","6名(1名)","渋谷",,"りく","しぶや",,"40歳","新党やまと",
"東京都選挙区","6名(1名)","奥村",,"よしひろ","おくむら",,"31歳","国民民主党","https://yoshihiro-okumura.com/"
"東京都選挙区","6名(1名)","吉田",,"あや","よしだ",,"40歳","再生の道","https://sites.google.com/view/ayayoshida"
"東京都選挙区","6名(1名)","鈴木",,"大地","すずき","だいち","58歳","自由民主党","https://daichi55.com/"
"東京都選挙区","6名(1名)","塩村",,"あやか","しおむら",,"47歳","立憲民主党","https://shiomura-ayaka.com"
"東京都選挙区","6名(1名)","よしざわ",,"恵理",,"えり","55歳","無所属","https://www.eyoshizawa.com/"
"東京都選挙区","6名(1名)","市川",,"たけしま","いちかわ",,"57歳","日本改革党","https://note.com/uq0820"
"東京都選挙区","6名(1名)","川村",,"ゆうだい","かわむら",,"41歳","公明党","https://lit.link/ykawamura"
"東京都選挙区","6名(1名)","おときた",,"駿",,"しゅん","41歳","日本維新の会","https://x.com/otokita"
"東京都選挙区","6名(1名)","平野",,"雨龍","ひらの","うりゅう","31歳","無所属","https://uryukai.com"
"東京都選挙区","6名(1名)","山尾",,"しおり","やまお",,"50歳","無所属","https://yamaoshiori.jp/"
"東京都選挙区","6名(1名)","ちば",,"ひとし",,,"62歳","日本誠真会","https://www.facebook.com/hitoshi.haseg
awa.986"
"東京都選挙区","6名(1名)","増田",,"昇","ますだ","のぼる","47歳","無所属","http://sites.google.com/view/design-the-
future2025"
"東京都選挙区","6名(1名)","つじ",,"健太郎",,"けんたろう","39歳","無所属連合","https://x.com/kentaro_tsuji"
"東京都選挙区","6名(1名)","早川",,"幹夫","はやかわ","みちお","77歳","西郷党","https://saigoutou.jp/"
"東京都選挙区","6名(1名)","石丸",,"幸人","いしまる","ゆきと","52歳","ＮＨＫ党","https://www.syoha.jp/"
"東京都選挙区","6名(1名)","高橋",,"健司","たかはし","けんじ","54歳","無所属",
"神奈川県選挙区","4名","あや",,"ひさし",,,"78歳","日本誠真会",
"神奈川県選挙区","4名","三好",,"りょう","みよし",,"40歳","れいわ新選組","https://www.miyoshiryo.com"
"神奈川県選挙区","4名","はじかの",,"ひろき",,,"48歳","参政党","https://go2senkyo.com/seijika/188218"
"神奈川県選挙区","4名","あさか",,"由香",,"ゆか","45歳","日本共産党","http://asakayuka.net"
"神奈川県選挙区","4名","河合",,"みちお","かわい",,"35歳","チームみらい","https://team-mir.ai/"
"神奈川県選挙区","4名","かごしま",,"彰宏",,"あきひろ","36歳","国民民主党","https://akagoshima.jp"
"神奈川県選挙区","4名","みしま",,"りえ",,,"64歳","無所属","https://sites.google.com/view/mishimarie"
"神奈川県選挙区","4名","わき",,"雅昭",,"まさあき","43歳","自由民主党","https://waki.link"
"神奈川県選挙区","4名","うつみ",,"さとる",,,"50歳","無所属連合","https://go2senkyo.com/seijika/193748"
"神奈川県選挙区","4名","ちば",,"修平",,"しゅうへい","53歳","日本維新の会","https://www.chibashuhei.com/"
"神奈川県選挙区","4名","金子",,"ときお","かねこ",,"75歳","社会民主党","http://sdpkanagawa.com/"
"神奈川県選挙区","4名","佐々木",,"さやか","ささき",,"44歳","公明党","http://sasaki-sayaka.com"
"神奈川県選挙区","4名","牧山",,"ひろえ","まきやま",,"60歳","立憲民主党","http://makiyama-hiroe.jp"
"神奈川県選挙区","4名","堀川",,"圭輔","ほりかわ","けいすけ","51歳","ＮＨＫ党",
"神奈川県選挙区","4名","畠山",,"たかひろ","はたけやま",,"45歳","日本改革党","https://x.com/hatakeyamaM1J"
"神奈川県選挙区","4名","佐久間",,"こいち","さくま",,"59歳","日本改革党","https://www.nihonkaikaku.com"
"新潟県選挙区","1名","原田",,"公成","はらだ","きみなり","68歳","ＮＨＫ党",
"新潟県選挙区","1名","平井",,"えりこ","ひらい",,"46歳","参政党",
"新潟県選挙区","1名","中村",,"まい","なかむら",,"46歳","自由民主党","https://nakamura-mai.com/"
"新潟県選挙区","1名","打越",,"さくら","うちこし",,"57歳","立憲民主党","https://s-uchikoshi.com/"
"富山県選挙区","1名","田保",,"ともよ","たぼ",,"59歳","参政党","http://sanseito.jp/election_member/tabot
omoyo"
"富山県選挙区","1名","庭田",,"ゆきえ","にわた",,"57歳","国民民主党","https://niwatayukie.jp"
"富山県選挙区","1名","佐藤",,"明","さとう","あきら","50歳","ＮＨＫ党",
"富山県選挙区","1名","どうこ",,"茂",,"しげる","72歳","自由民主党","https://www.douko-shigeru.com"
"富山県選挙区","1名","坂本",,"ひろし","さかもと",,"54歳","日本共産党","https://jcpsk.com"
"石川県選挙区","1名","村田",,"しげる","むらた",,"62歳","日本共産党","https://www.facebook.com/profile.php?id
=100006256449389"
"石川県選挙区","1名","宮本",,"しゅうじ","みやもと",,"54歳","自由民主党","https://shuji-m.com"
"石川県選挙区","1名","はまべ",,"健太",,"けんた","31歳","国民民主党","https://hamabe-kenta.jp/"
"石川県選挙区","1名","小澤",,"正人","おざわ","まさと","49歳","ＮＨＫ党","https://go2senkyo.com/seijika/196447"
"石川県選挙区","1名","牧野",,"みどり","まきの",,"40歳","参政党","https://sanseito.jp/election_member/aut
hor/makinomidori/"
"福井県選挙区","1名","山田",,"かずお","やまだ",,"58歳","日本共産党","https://ameblo.jp/yamada-jcpfukui/"
"福井県選挙区","1名","かずえちゃん",,,,,"42歳","立憲民主党","https://www.kazuechan.info"
"福井県選挙区","1名","たきなみ",,"宏文",,"ひろふみ","53歳","自由民主党","https://www.takinami.info"
"福井県選挙区","1名","浜田",,"智","はまだ","さとし","62歳","ＮＨＫ党","x.com/@kiyuni194"
"福井県選挙区","1名","千田",,"たかひろ","せんだ",,"39歳","参政党","https://www.facebook.com/sanseito.fukui"
"福井県選挙区","1名","おおさか",,"幸太郎",,"こうたろう","57歳","日本保守党",
"福井県選挙区","1名","山中",,"しゅんすけ","やまなか",,"41歳","国民民主党","https://www.yama-shun.net"
"山梨県選挙区","1名","森屋",,"ひろし","もりや",,"68歳","自由民主党","https://www.moriya-hiroshi.com"
"山梨県選挙区","1名","ながた",,"みき",,,"55歳","参政党","https://x.com/miki_440831"
"山梨県選挙区","1名","後藤",,"ひとし","ごとう",,"67歳","国民民主党","https://go510.jp"
"山梨県選挙区","1名","そうだ",,"記史",,"のりふみ","42歳","日本共産党","https://norifumisoda.amebaownd.com"
"山梨県選挙区","1名","舟橋",,"夢人","ふなはし","ゆめと","59歳","ＮＨＫ党","https://twitter.com/funa2784"
"長野県選挙区","1名","竹下",,"ひろよし","たけした",,"42歳","参政党","https://go2senkyo.com/seijika/195114"
"長野県選挙区","1名","藤田",,"ひかる","ふじた",,"35歳","自由民主党","https://hikarufujita.com/"
"長野県選挙区","1名","羽田",,"次郎","はた","じろう","55歳","立憲民主党","https://hatajiro.com/"
"長野県選挙区","1名","山田",,"ゆうじ","やまだ",,"35歳","チームみらい","https://team-mir.ai"
"長野県選挙区","1名","加藤",,"英明","かとう","ひであき","66歳","ＮＨＫ党",
"岐阜県選挙区","1名","服部",,"まなぶ","はっとり",,"54歳","立憲民主党","https://hattorimanabu.jp/"
"岐阜県選挙区","1名","せお",,"えいじ",,,"40歳","参政党","https://go2senkyo.com/seijika/187837"
"岐阜県選挙区","1名","若井",,"あつこ","わかい",,"53歳","自由民主党","https://atsuko-wakai.com"
